GEO_ID,zip_code,median_age,sex_ratio,age_dependency_ratio,undergraduate_students,employment_population_ratio,total_workers,workers_not_from_home,commute_vehicles,median_household_value
860Z200US90220,90220,33,90.5,62.6,2169,56.6,21190,20755,18280,394900
860Z200US90221,90221,33,103.1,57.3,3143,57.7,22077,21438,18610,412600
860Z200US90222,90222,30.5,93.6,62.8,1620,57.1,13793,12938,10930,420700
860Z200US90230,90230,40.5,93.4,62.7,1297,65.5,17122,13981,12435,849200
860Z200US90232,90232,37.6,91.1,47.1,592,65.6,8291,6897,5775,1219100
860Z200US90240,90240,37.7,96.2,66.4,1318,63.7,12717,11994,10490,646900
860Z200US90241,90241,35.7,97.5,54.2,3253,60.4,21259,19967,17355,627700
860Z200US90242,90242,35.1,89.1,58,3787,60.8,20284,19073,16450,557700
860Z200US90245,90245,36.8,105.6,50.2,939,71.2,9627,7919,7100,1244200
860Z200US90247,90247,37.6,98.2,52.4,3349,61.9,23941,22509,19375,540800
860Z200US90248,90248,45.1,91.8,57.6,629,60.2,5728,5411,4790,571200
860Z200US90249,90249,41.2,86.2,56.4,1711,60.9,12539,11510,9810,584000
860Z200US90250,90250,33.3,96.5,54.5,5985,64.4,46280,43200,36510,661400
860Z200US90254,90254,40.5,119.7,47.5,413,68.9,11362,8650,7510,1674500
860Z200US90255,90255,33,105.8,55.5,4771,60.6,32966,31264,24080,455000
860Z200US90260,90260,35.8,108.2,51.8,2085,66.1,17084,16321,13535,597300
860Z200US90262,90262,31.3,97.4,53,3894,54.7,27331,26517,21995,449600
860Z200US90263,90263,19.8,71.4,1.4,1824,41.7,790,649,90,-
860Z200US90265,90265,49.4,101.2,82,958,54.2,7525,5606,4830,"2,000,000+"
860Z200US90266,90266,42.8,97.4,76.2,961,59.7,15801,11582,10295,"2,000,000+"
860Z200US90270,90270,31.3,105.7,60.2,1577,62.7,11510,11069,8580,481800
860Z200US90272,90272,46.6,94.1,96.5,475,56.6,8932,6505,5975,"2,000,000+"
860Z200US90274,90274,51,97.8,94.1,1174,50.3,9775,8099,7635,1757700
860Z200US90275,90275,49.7,94.8,87.6,2065,52.9,17851,14690,13715,1247000
860Z200US90277,90277,44.6,99.5,53.3,1312,65.2,19630,15867,14170,1143800
860Z200US90278,90278,38.1,99.4,58.3,1742,69.7,22548,18802,17040,992600
860Z200US90280,90280,33.3,99,58.3,6915,59.5,41765,39556,32335,470200
860Z200US90290,90290,45.7,101.6,55.1,134,62.7,2661,2082,1735,1184900
860Z200US90291,90291,39.4,97.9,36.9,637,70.8,15433,10603,7955,1899800
860Z200US90292,90292,39,103.1,33.9,721,75.2,15531,11346,9470,1076900
860Z200US90293,90293,41,116.9,44.1,667,67.1,7507,5882,5390,899000
860Z200US90301,90301,37,104.7,53.2,2953,59.7,17821,16736,13520,547900
860Z200US90302,90302,35.9,86.1,49.8,1755,67.5,15265,13478,11130,590000
860Z200US90303,90303,34.7,104.5,60.8,1383,59.7,10454,9839,7760,606100
860Z200US90304,90304,32.8,108.9,52.2,1377,67.1,12688,12128,9245,586600
860Z200US90305,90305,45.4,86.8,54.3,886,61.2,7755,7189,6065,646500
860Z200US90401,90401,36.7,112.2,28.8,283,63.1,4409,3434,2305,1393800
860Z200US90402,90402,47.3,98.1,101.1,256,58.5,5410,4121,3570,"2,000,000+"
860Z200US90403,90403,43.9,96.7,50.3,767,66.4,14110,10484,8195,1523400
860Z200US90404,90404,38.1,99.3,45.4,1728,60.2,11829,9231,7120,922900
860Z200US90405,90405,41.7,93.2,47.3,1177,65.4,15125,12186,9690,1430800
860Z200US90501,90501,37.4,97.4,59.4,2349,61.3,20218,18345,15815,724900
860Z200US90502,90502,42.7,93.6,61.7,986,62.2,9160,8324,7330,520700
860Z200US90503,90503,41.2,103.2,59.2,1893,61.5,21748,18341,16475,861000
860Z200US90504,90504,42.5,93.5,57.2,2254,60.2,15928,14144,12725,712300
860Z200US90505,90505,42.4,89.4,72.8,1668,59.6,17099,14635,13325,916100
860Z200US90506,90506,-,-,-,0,-,0,0,-,-
860Z200US90601,90601,39.6,87.1,60.8,2210,59.1,14591,13335,12170,626500
860Z200US90602,90602,34.3,101.2,59.4,2312,59.5,11783,11191,9580,601600
860Z200US90603,90603,40.5,98.7,59.5,1291,59.9,10210,9439,8535,649600
860Z200US90604,90604,35.2,96.9,59.2,2983,63,19364,18198,16620,591400
860Z200US90605,90605,35.2,96.8,53.3,3129,57.8,18980,17881,16335,556000
860Z200US90606,90606,36.3,96.4,55.5,2056,57.1,14573,13621,12135,509600
860Z200US90620,90620,37.2,97.7,58.9,3713,64.3,23677,21695,19885,622700
