GEO_ID,zip_code,household_total,median_household_income,mean_household_income,total_families,median_family_income,mean_family_income,calculated_household_total,not_all_lengths_1
860Z200US02170,2170,8001,92052,108052,4277,103497,124238,864524052,Yes
860Z200US02171,2171,8869,90558,118334,4506,114272,139153,1049504246,Yes
860Z200US02176,2176,11926,125000,143490,7744,161815,175193,1711261740,Yes
860Z200US02180,2180,9758,105541,128498,5944,148162,162288,1253883484,Yes
860Z200US02184,2184,14384,114916,141136,9671,144255,163666,2030100224,Yes
860Z200US02186,2186,8797,154125,195402,6937,189701,219963,1718951394,Yes
860Z200US02188,2188,7085,98327,107175,4216,119231,126331,759334875,Yes
860Z200US02189,2189,6194,80020,102553,4042,110677,123620,635213282,Yes
860Z200US02190,2190,7677,93988,116123,4808,135972,137529,891476271,Yes
860Z200US02191,2191,3444,95846,106304,2077,112750,125926,366110976,Yes
860Z200US02199,2199,833,106182,180822,343,205795,260580,150624726,Yes
860Z200US02210,2210,3016,160000,258316,932,226250,301408,779081056,Yes
860Z200US02215,2215,7931,58466,86609,1572,126429,162210,686895979,Yes
860Z200US02301,2301,22928,65275,86443,15943,75176,97909,1981965104,Yes
860Z200US02302,2302,12164,75280,95364,8989,83913,107591,1160007696,Yes
860Z200US02322,2322,1653,127953,115744,1117,128750,122885,191324832,Yes
860Z200US02324,2324,8657,107932,127841,6332,124226,145051,1106719537,Yes
860Z200US02325,2325,30,22708,38350,4,-,N,1150500,Yes
860Z200US02330,2330,4648,61811,90680,3042,84722,108516,421480640,Yes
860Z200US02332,2332,6092,130260,185109,4515,164596,220661,1127684028,Yes
860Z200US02333,2333,4952,110924,143420,3899,128321,161634,710215840,Yes
860Z200US02338,2338,2930,98264,111710,2028,107306,132059,327310300,Yes
860Z200US02339,2339,4744,149048,183148,3937,165064,194821,868854112,Yes
860Z200US02341,2341,3850,113500,137494,2738,128393,161533,529351900,Yes
860Z200US02343,2343,4695,89580,97460,3173,115168,115375,457574700,Yes
860Z200US02346,2346,9727,81809,107762,6255,92684,124286,1048200974,Yes
860Z200US02347,2347,4162,112240,129163,3200,126250,143488,537576406,Yes
860Z200US02350,2350,70,-,90960,46,145625,128863,6367200,Yes
860Z200US02351,2351,6083,113155,124411,4343,138555,141057,756792113,Yes
860Z200US02356,2356,4511,114682,157998,3311,151394,189717,712728978,Yes
860Z200US02359,2359,6861,130015,142495,4865,152776,166790,977658195,Yes
860Z200US02360,2360,24985,97956,126982,17004,120123,150358,2147483647,Yes
860Z200US02364,2364,5321,103945,124512,3625,133281,147359,662528352,Yes
860Z200US02367,2367,989,118098,139838,846,118696,150196,138299782,Yes
860Z200US02368,2368,12167,87985,111776,8879,98813,123364,1359978592,Yes
860Z200US02370,2370,6654,90315,102457,4548,108325,121296,681748878,Yes
860Z200US02375,2375,4482,110549,139286,3064,145921,164759,624279852,Yes
860Z200US02379,2379,2726,111964,126070,2035,131033,146254,343666820,Yes
860Z200US02382,2382,5684,94919,106351,3940,110593,120095,604499084,Yes
860Z200US02420,2420,5374,215303,289659,4357,"250,000+",326460,1556627466,Yes
860Z200US02421,2421,6927,191140,245869,5396,230129,281998,1703134563,Yes
860Z200US02445,2445,9225,126832,207480,4575,191528,289793,1914003000,Yes
860Z200US02446,2446,14278,109845,171006,6683,164240,256659,2147483647,Yes
860Z200US02451,2451,7586,109021,138252,4301,145302,171758,1048779672,Yes
860Z200US02452,2452,5215,101857,124948,2697,128242,149708,651603820,Yes
